DATETIME,MARKET,SUBMARKET,VENDOR,EUTRANCELL,AVG_RRC_CONN_NUM,AVG_RRC_CONN_DEN,AVG_RRC_CONN,DL_DRB_TP_NUM,DL_DRB_TP_DEN,DL_DRB_TP,QCI6_DL_TPUT_NUM,QCI7_DL_TPUT_NUM,QCI8_DL_TPUT_NUM,QCI9_DL_TPUT_NUM,QCI6_DL_TPUT_DEN,QCI7_DL_TPUT_DEN,QCI8_DL_TPUT_DEN,QCI9_DL_TPUT_DEN,DL_DRB_QCI6_TP,DL_DRB_QCI7_TP,DL_DRB_QCI8_TP,DL_DRB_QCI9_TP,QCI6_ERAB_SETUP_SUCC,QCI7_ERAB_SETUP_SUCC,QCI8_ERAB_SETUP_SUCC,QCI9_ERAB_SETUP_SUCC
9/30/2020,Arizona/New Mexico,Arizona,N,AZL00001_2A_1,4412642,86400,51.07224537,636020555.2,47316.72,13441.77185,1443804.904,47129269.51,248386561.8,339060919,72.307,2626.396,18286.504,26331.513,19967.70581,17944.4644,13583.05348,12876.62122,328,8334,125337,74173
9/30/2020,Arizona/New Mexico,Arizona,N,AZL00001_2A_2,2076938,86400,24.03863426,469536662.1,29041.877,16167.57285,1683620.752,38965247.98,146580418.7,282307374.7,68.271,2489.884,9571.206,16912.516,24660.84797,15649.42302,15314.72823,16692.21627,301,7896,45728,58074
9/30/2020,Arizona/New Mexico,Arizona,N,AZL00001_2B_1,4484860,86400,51.90810185,753076934,75357.443,9993.398183,701043.512,54596682.38,289035399.1,408743808.9,104.49,3572.796,27936.866,43743.291,6709.192382,15281.22019,10346.02089,9344.148545,532,11146,163010,105202
9/30/2020,Arizona/New Mexico,Arizona,N,AZL00001_2B_2,3157864,86400,36.54935185,709031786,63232.53,11213.08583,831707.56,81341129.12,226935885.3,399923064,135.293,6526.93,19337.307,37233,6147.454488,12462.38724,11735.65095,10741.09161,252,10174,59485,76442
9/30/2020,E. PA/S. NJ/DE,Philadelphia,N,PAL01616_9A_1,1320082,86400,15.27872685,166936126.3,6695.095,24934.09374,1061545.824,19170204.5,75398250.72,71306125.26,42.295,650.9,3137.246,2864.654,25098.6127,29451.84284,24033.26061,24891.70603,895,2801,62212,15134
9/30/2020,E. PA/S. NJ/DE,Philadelphia,N,PAL01616_9B_1,5485240,86400,63.48657407,212382263.4,17320.249,12262.07911,427407.608,7242228.544,110297834,94414793.3,123.822,587.271,10189.226,6419.93,3451.790538,12332.00438,10824.94725,14706.51445,713,9409,593079,39133
9/30/2020,E. PA/S. NJ/DE,Philadelphia,N,PAL01616_9C_1,1916032,86400,22.1762963,207636241.5,11093.829,18716.373,7283397.912,34514328.8,87475282.9,78363231.93,240.024,2223.722,4614.834,4015.249,30344.45685,15520.97286,18955.23932,19516.40656,8039,6956,73573,22433
9/30/2020,E. PA/S. NJ/DE,Philadelphia,N,PAL01630_2A_1,1501735,86400,17.38119213,158892121.6,7137.856,22260.48292,4550.488,52552751.36,48727206.3,57607613.46,1.47,1655.333,2637.671,2843.382,3095.570068,31747.54044,18473.57244,20260.24413,221,5566,89086,25925
9/30/2020,E. PA/S. NJ/DE,Philadelphia,N,PAL01630_2B_1,2468878,86400,28.57497685,290248122.2,13419.317,21629.12778,660228.936,29721498.1,131974314,127892081.1,27.745,1331.475,6911.672,5148.425,23796.32136,22322.23519,19094.41218,24841.01081,4588,9194,125267,29586
9/30/2020,E. PA/S. NJ/DE,Philadelphia,N,PAL01630_2C_1,476361,86400,5.5134375,75954547.76,2863.232,26527.55619,172034.888,2576507.08,23812112.58,49393893.21,6.22,121.251,1080.627,1655.134,27658.34212,21249.36768,22035.45958,29842.83642,212,1042,21118,7212
9/30/2020,E. PA/S. NJ/DE,Philadelphia,N,PAL01630_3B_1,1984245,48006,41.33327084,381141257.7,10850.75,35125.79846,2587725.568,41397506.66,187636320.4,149519705,45.107,1091.962,5397.858,4315.823,57368.60283,37911.12389,34761.25538,34644.54057,519,7360,84570,27549
