DATETIME,MARKET,SUBMARKET,VENDOR,QCI,KPI,Value
9/27/2020,Arizona/New Mexico,Arizona,N,QCI 6+7+8+9,TRAFFIC,3.02306E+12
9/27/2020,Arizona/New Mexico,Arizona,N,QCI 6,TRAFFIC,43442052909
9/27/2020,Arizona/New Mexico,Arizona,N,QCI 7,TRAFFIC,2.2815E+11
9/27/2020,Arizona/New Mexico,Arizona,N,QCI 8,TRAFFIC,1.0806E+12
9/27/2020,Arizona/New Mexico,Arizona,N,QCI 9,TRAFFIC,1.6709E+12
9/27/2020,Arizona/New Mexico,New Mexico,N,QCI 6+7+8+9,TRAFFIC,9.79125E+11
9/27/2020,Arizona/New Mexico,New Mexico,N,QCI 6,TRAFFIC,21924537405
9/27/2020,Arizona/New Mexico,New Mexico,N,QCI 7,TRAFFIC,77332750513
9/27/2020,Arizona/New Mexico,New Mexico,N,QCI 8,TRAFFIC,3.67614E+11
9/27/2020,Arizona/New Mexico,New Mexico,N,QCI 9,TRAFFIC,5.12812E+11
9/27/2020,Arkansas/Oklahoma,Arkansas,E,QCI 6+7+8+9,TRAFFIC,4.25376E+12
9/27/2020,Arkansas/Oklahoma,Arkansas,E,QCI 6,TRAFFIC,90488746412
9/27/2020,Arkansas/Oklahoma,Arkansas,E,QCI 7,TRAFFIC,3.68385E+11
9/27/2020,Arkansas/Oklahoma,Arkansas,E,QCI 8,TRAFFIC,1.93193E+12
9/27/2020,Arkansas/Oklahoma,Arkansas,E,QCI 9,TRAFFIC,2.10742E+12
9/27/2020,Arkansas/Oklahoma,Oklahoma City,E,QCI 6+7+8+9,TRAFFIC,3.13273E+12
9/27/2020,Arkansas/Oklahoma,Oklahoma City,E,QCI 6,TRAFFIC,74106601533
9/27/2020,Arkansas/Oklahoma,Oklahoma City,E,QCI 7,TRAFFIC,2.75282E+11
9/27/2020,Arkansas/Oklahoma,Oklahoma City,E,QCI 8,TRAFFIC,1.33118E+12
9/27/2020,Arkansas/Oklahoma,Oklahoma City,E,QCI 9,TRAFFIC,1.46322E+12
9/27/2020,Arkansas/Oklahoma,Tulsa OK,E,QCI 6+7+8+9,TRAFFIC,1.94969E+12
9/27/2020,Arkansas/Oklahoma,Tulsa OK,E,QCI 6,TRAFFIC,44313744446
9/27/2020,Arkansas/Oklahoma,Tulsa OK,E,QCI 7,TRAFFIC,1.72308E+11
9/27/2020,Arkansas/Oklahoma,Tulsa OK,E,QCI 8,TRAFFIC,8.15074E+11
9/27/2020,Arkansas/Oklahoma,Tulsa OK,E,QCI 9,TRAFFIC,9.40038E+11
9/27/2020,E. PA/S. NJ/DE,Harly,N,QCI 6+7+8+9,TRAFFIC,2.43876E+12
9/27/2020,E. PA/S. NJ/DE,Harly,N,QCI 6,TRAFFIC,52287166047
9/27/2020,E. PA/S. NJ/DE,Harly,N,QCI 7,TRAFFIC,2.3186E+11
9/27/2020,E. PA/S. NJ/DE,Harly,N,QCI 8,TRAFFIC,9.95434E+11
9/27/2020,E. PA/S. NJ/DE,Harly,N,QCI 9,TRAFFIC,1.15918E+12
9/27/2020,E. PA/S. NJ/DE,Philadelphia,N,QCI 6+7+8+9,TRAFFIC,3.25234E+12
9/27/2020,E. PA/S. NJ/DE,Philadelphia,N,QCI 6,TRAFFIC,70668857377
9/27/2020,E. PA/S. NJ/DE,Philadelphia,N,QCI 7,TRAFFIC,3.20638E+11
9/27/2020,E. PA/S. NJ/DE,Philadelphia,N,QCI 8,TRAFFIC,1.23771E+12
9/27/2020,E. PA/S. NJ/DE,Philadelphia,N,QCI 9,TRAFFIC,1.62333E+12
9/27/2020,Florida,Gainesville,E,QCI 6+7+8+9,TRAFFIC,2.67382E+11
9/27/2020,Florida,Gainesville,E,QCI 6,TRAFFIC,8762517763
9/27/2020,Florida,Gainesville,E,QCI 7,TRAFFIC,20683716333
9/27/2020,Florida,Gainesville,E,QCI 8,TRAFFIC,1.56443E+11
